epoch,values
1512661500.0,37.46
1512662400.0,52.03
1512663300.0,48.68
1512664200.0,32.02
1512665100.0,41.79
1512666000.0,61.06
1512666900.0,37.72
1512667800.0,32.25
1512668700.0,23.76
1512669600.0,25.48
1512670500.0,48.0
1512671400.0,21.3
1512672300.0,26.4
1512673200.0,20.7
1512674100.0,8.76
1512675000.0,9.51
1512675900.0,8.42
1512676800.0,8.74
1512677700.0,8.75
1512678600.0,8.52
1512679500.0,8.79
1512680400.0,8.56
1512681300.0,8.69
1512682200.0,8.09
1512683100.0,8.57
1512684000.0,10.97
1512684900.0,10.69
1512685800.0,8.83
1512686700.0,8.51
1512687600.0,8.32
1512688500.0,8.08
1512689400.0,8.87
1512690300.0,8.51
1512691200.0,7.84
1512692100.0,8.42
1512693000.0,8.67
1512693900.0,8.72
1512694800.0,8.48
1512695700.0,8.33
1512696600.0,7.95
1512697500.0,8.78
1512698400.0,8.48
1512699300.0,8.4
1512700200.0,8.59
1512701100.0,8.24
1512702000.0,8.29
1512702900.0,8.94
1512703800.0,8.48
1512704700.0,8.73
1512705600.0,8.2
1512706500.0,8.03
1512707400.0,7.86
1512708300.0,8.6
1512709200.0,8.42
1512710100.0,8.4
1512711000.0,9.12
1512711900.0,7.95
1512712800.0,8.9
1512713700.0,7.81
1512714600.0,8.26
1512715500.0,8.47
1512716400.0,8.61
1512717300.0,7.85
1512718200.0,8.66
1512719100.0,8.02
1512720000.0,9.08
1512720900.0,8.76
1512721800.0,8.36
1512722700.0,8.69
1512723600.0,8.9
1512724500.0,8.55
1512725400.0,8.86
1512726300.0,8.67
1512727200.0,8.13
1512728100.0,8.38
1512729000.0,8.75
1512729900.0,8.07
1512730800.0,8.33
1512731700.0,8.12
1512732600.0,8.57
1512733500.0,8.38
1512734400.0,7.87
1512735300.0,8.42
1512736200.0,8.91
1512737100.0,45.19
1512738000.0,50.5
1512738900.0,11.64
1512739800.0,36.37
1512740700.0,36.86
1512741600.0,41.32
1512742500.0,37.44
1512743400.0,35.38
1512744300.0,29.79
1512745200.0,34.46
1512746100.0,36.72
1512747000.0,20.94
1512747900.0,23.2
1512748800.0,40.85
1512749700.0,34.65
1512750600.0,27.56
1512751500.0,33.8
1512752400.0,45.38
1512753300.0,32.38
1512754200.0,43.96
1512755100.0,23.25
1512756000.0,47.99
1512756900.0,52.81
1512757800.0,27.31
1512758700.0,33.03
1512759600.0,16.81
1512760500.0,23.48
1512761400.0,16.02
1512762300.0,12.16
1512763200.0,11.23
